Breakdown,Date,Average playtime
Total,2025-06-12T00:00:00.000Z,7.1509294509887695
Total,2025-06-13T00:00:00.000Z,7.521046161651611
Total,2025-06-14T00:00:00.000Z,7.029649257659912
Total,2025-06-15T00:00:00.000Z,6.906352996826172
Total,2025-06-16T00:00:00.000Z,8.987638473510742
Total,2025-06-17T00:00:00.000Z,8.398911476135254
Total,2025-06-18T00:00:00.000Z,7.176111221313477
Total,2025-06-19T00:00:00.000Z,7.731662750244141
Total,2025-06-20T00:00:00.000Z,7.572208404541016
Total,2025-06-21T00:00:00.000Z,7.330595016479492
Total,2025-06-22T00:00:00.000Z,8.88847541809082
Total,2025-06-23T00:00:00.000Z,8.34627628326416
Total,2025-06-24T00:00:00.000Z,7.367232322692871
Total,2025-06-25T00:00:00.000Z,6.925039291381836
Total,2025-06-26T00:00:00.000Z,9.160565376281738
Total,2025-06-27T00:00:00.000Z,8.818431854248047
Total,2025-06-28T00:00:00.000Z,7.52297306060791
Total,2025-06-29T00:00:00.000Z,7.936248302459717
Total,2025-06-30T00:00:00.000Z,9.310379028320312
Total,2025-07-01T00:00:00.000Z,9.408101081848145
Total,2025-07-02T00:00:00.000Z,10.852984428405762
Total,2025-07-03T00:00:00.000Z,9.028396606445312
Total,2025-07-04T00:00:00.000Z,10.183113098144531
Total,2025-07-05T00:00:00.000Z,9.31640911102295
Total,2025-07-06T00:00:00.000Z,10.534212112426758
Total,2025-07-07T00:00:00.000Z,11.896985054016113
Total,2025-07-08T00:00:00.000Z,10.846603393554688
Total,2025-07-09T00:00:00.000Z,10.562979698181152
