Breakdown,Date,Day 1 Retention
Total,2025-06-12T00:00:00.000Z,0.03746397793292999
Total,2025-06-13T00:00:00.000Z,0.02255639061331749
Total,2025-06-14T00:00:00.000Z,0.02574525773525238
Total,2025-06-15T00:00:00.000Z,0.016420360654592514
Total,2025-06-16T00:00:00.000Z,0.019184652715921402
Total,2025-06-17T00:00:00.000Z,0.03100775182247162
Total,2025-06-18T00:00:00.000Z,0.016304347664117813
Total,2025-06-19T00:00:00.000Z,0.02506963722407818
Total,2025-06-20T00:00:00.000Z,0.012690355069935322
Total,2025-06-21T00:00:00.000Z,0.04177545756101608
Total,2025-06-22T00:00:00.000Z,0.017467249184846878
Total,2025-06-23T00:00:00.000Z,0.044568244367837906
Total,2025-06-24T00:00:00.000Z,0.044378697872161865
Total,2025-06-25T00:00:00.000Z,0.021686747670173645
Total,2025-06-26T00:00:00.000Z,0.019950125366449356
Total,2025-06-27T00:00:00.000Z,0.01179245300590992
Total,2025-06-28T00:00:00.000Z,0.02654867246747017
Total,2025-06-29T00:00:00.000Z,0.02427184395492077
Total,2025-06-30T00:00:00.000Z,0.028455285355448723
Total,2025-07-01T00:00:00.000Z,0.031509120017290115
Total,2025-07-02T00:00:00.000Z,0.026833631098270416
Total,2025-07-03T00:00:00.000Z,0.02527075819671154
Total,2025-07-04T00:00:00.000Z,0.032159265130758286
Total,2025-07-05T00:00:00.000Z,0.03789731115102768
Total,2025-07-06T00:00:00.000Z,0.025203853845596313
Total,2025-07-07T00:00:00.000Z,0.026674233376979828
Total,2025-07-08T00:00:00.000Z,0.03170028701424599
Total,2025-07-09T00:00:00.000Z,0.02349751442670822
