Date,2025-07-08T00:00:00.000Z
Country,Series,Monthly Active Users
United States,Monthly Active Users,6379
Brazil,Monthly Active Users,1629
Russian Federation,Monthly Active Users,1408
Indonesia,Monthly Active Users,1189
Philippines,Monthly Active Users,941
United Kingdom,Monthly Active Users,921
Mexico,Monthly Active Users,809
Vietnam,Monthly Active Users,519
France,Monthly Active Users,466
Canada,Monthly Active Users,443
Saudi Arabia,Monthly Active Users,439
Thailand,Monthly Active Users,423
India,Monthly Active Users,411
Germany,Monthly Active Users,404
Argentina,Monthly Active Users,324
Italy,Monthly Active Users,308
Malaysia,Monthly Active Users,299
Australia,Monthly Active Users,271
Ukraine,Monthly Active Users,269
Poland,Monthly Active Users,253
Chile,Monthly Active Users,220
Japan,Monthly Active Users,203
Colombia,Monthly Active Users,188
Romania,Monthly Active Users,182
Spain,Monthly Active Users,182
Netherlands,Monthly Active Users,181
Korea,Monthly Active Users,167
Iraq,Monthly Active Users,160
Egypt,Monthly Active Users,160
Sweden,Monthly Active Users,134
Belgium,Monthly Active Users,125
Kazakhstan,Monthly Active Users,123
New Zealand,Monthly Active Users,110
United Arab Emirates,Monthly Active Users,101
Peru,Monthly Active Users,93
Portugal,Monthly Active Users,92
Czech Republic,Monthly Active Users,90
Pakistan,Monthly Active Users,83
South Africa,Monthly Active Users,83
Venezuela,Monthly Active Users,76
Belarus,Monthly Active Users,72
Israel,Monthly Active Users,72
Kuwait,Monthly Active Users,72
Ecuador,Monthly Active Users,71
Morocco,Monthly Active Users,67
Algeria,Monthly Active Users,62
Hungary,Monthly Active Users,60
Ireland,Monthly Active Users,60
Denmark,Monthly Active Users,59
Finland,Monthly Active Users,59
Greece,Monthly Active Users,58
Norway,Monthly Active Users,57
Singapore,Monthly Active Users,56
Dominican Republic,Monthly Active Users,55
Taiwan,Monthly Active Users,54
Lithuania,Monthly Active Users,53
Azerbaijan,Monthly Active Users,52
Jordan,Monthly Active Users,50
Turkey,Monthly Active Users,49
Puerto Rico,Monthly Active Users,46
Bulgaria,Monthly Active Users,45
Uruguay,Monthly Active Users,44
Switzerland,Monthly Active Users,43
Austria,Monthly Active Users,42
Hong Kong,Monthly Active Users,41
Honduras,Monthly Active Users,38
Serbia,Monthly Active Users,37
Slovakia,Monthly Active Users,34
Jamaica,Monthly Active Users,32
Costa Rica,Monthly Active Users,31
Moldova,Monthly Active Users,31
Bangladesh,Monthly Active Users,29
Croatia,Monthly Active Users,28
Georgia,Monthly Active Users,28
Uzbekistan,Monthly Active Users,27
Myanmar,Monthly Active Users,26
Bolivia,Monthly Active Users,26
Estonia,Monthly Active Users,25
Latvia,Monthly Active Users,25
Cambodia,Monthly Active Users,23
Tunisia,Monthly Active Users,23
Guatemala,Monthly Active Users,22
Qatar,Monthly Active Users,22
El Salvador,Monthly Active Users,21
Panama,Monthly Active Users,21
Armenia,Monthly Active Users,18
Paraguay,Monthly Active Users,18
Bosnia and Herzegovina,Monthly Active Users,17
Lebanon,Monthly Active Users,16
Slovenia,Monthly Active Users,16
Brunei Darussalam,Monthly Active Users,16
Kyrgyzstan,Monthly Active Users,15
Trinidad and Tobago,Monthly Active Users,15
Nepal,Monthly Active Users,14
Nicaragua,Monthly Active Users,14
Albania,Monthly Active Users,14
Laos,Monthly Active Users,13
Kenya,Monthly Active Users,10
Mauritius,Monthly Active Users,10
Mongolia,Monthly Active Users,9
Reunion,Monthly Active Users,8
Kosovo,Monthly Active Users,7
Cyprus,Monthly Active Users,7
Iran,Monthly Active Users,6
Belize,Monthly Active Users,6
Angola,Monthly Active Users,4
Virgin Islands (US),Monthly Active Users,3
Libya,Monthly Active Users,2
Curaçao,Monthly Active Users,2
Faroe Islands,Monthly Active Users,1
Jersey,Monthly Active Users,1
